"row_hash","residence_fuel_type_name","year","month","price","price_units","price_description","locatable_id","locatable_type","created_at","updated_at"
"01adbdb0de79bf53c09a0f7daf02eede","electricity","2006","6","0.139381","dollars","dollars_per_kilowatt_hour","DE","State","2010-07-07 02:04:44","2010-07-07 02:04:44"
"01af9a0a88f4cffcc8d307154e33b167","electricity","2002","3","0.0817062","dollars","dollars_per_kilowatt_hour","DE","State","2010-07-07 02:04:13","2010-07-07 02:04:13"
"01b05cdce720d82a605513ab8d230e3d","electricity","2005","7","0.100874","dollars","dollars_per_kilowatt_hour","DC","State","2010-07-07 02:04:37","2010-07-07 02:04:37"
"01b5adb03ed9e441cc3094dae4ae3140","electricity","1994","9","0.0820934","dollars","dollars_per_kilowatt_hour","GA","State","2010-07-07 02:03:15","2010-07-07 02:03:15"
"01b5d2c3efdcd72025cba3e28809613a","fuel oil","2008","5","0.546044","gallons","dollars_per_litre","New Jersey","State","2010-07-07 02:06:16","2010-07-07 02:06:16"
"01b6c41b62d6620bde95dc650d26bbf9","electricity","1993","4","0.0701989","dollars","dollars_per_kilowatt_hour","NV","State","2010-07-07 02:03:03","2010-07-07 02:03:03"
"01b811937e67095a006fd6bde5356528","fuel oil","1995","7","0.101706","gallons","dollars_per_litre","Washington","State","2010-07-07 02:05:41","2010-07-07 02:05:41"
"01c3cdc7f56bc4ed1e74bc5a36acf684","electricity","1993","6","0.0723584","dollars","dollars_per_kilowatt_hour","ND","State","2010-07-07 02:03:04","2010-07-07 02:03:04"
"01c4b6a4d1c516970e9303ae668972e2","electricity","1993","5","0.0939317","dollars","dollars_per_kilowatt_hour","NM","State","2010-07-07 02:03:04","2010-07-07 02:03:04"
"01c7dcf552ab788ca03f5dafd02c4e1c","electricity","2001","1","0.0873763","dollars","dollars_per_kilowatt_hour","PA","State","2010-07-07 02:04:04","2010-07-07 02:04:04"
"01cfe7375e84fb044a8a51aad9ea8713","electricity","2007","10","0.125917","dollars","dollars_per_kilowatt_hour","NV","State","2010-07-07 02:04:54","2010-07-07 02:04:54"
"01d2065be907a20d7950573a19bddd08","electricity","1993","6","0.126458","dollars","dollars_per_kilowatt_hour","NH","State","2010-07-07 02:03:04","2010-07-07 02:03:04"
"01d4f7d4bc801044b34af96e047be913","fuel oil","2001","1","0.16907","gallons","dollars_per_litre","Kansas","State","2010-07-07 02:05:56","2010-07-07 02:05:56"
"01d669a2ba0659cda7cb6939f3f004e1","electricity","2006","5","0.0762049","dollars","dollars_per_kilowatt_hour","NE","State","2010-07-07 02:04:44","2010-07-07 02:04:44"
"01d67fb98967e2950d467faf70f86b41","electricity","2008","5","0.113619","dollars","dollars_per_kilowatt_hour","FL","State","2010-07-07 02:04:58","2010-07-07 02:04:58"
"01d7f247057a3660ab87487c41dd3fe1","electricity","2005","6","0.124998","dollars","dollars_per_kilowatt_hour","NJ","State","2010-07-07 02:04:37","2010-07-07 02:04:37"
"01da4082493c688ac902380a75392e6a","propane","2000","7","0.300364","gallons","dollars_per_litre","3","PetroleumAdministrationForDefenseDistrict","2010-07-07 02:06:26","2010-07-07 02:06:26"
"01dd55c063d54a61dc5ff0a8f53f9636","propane","2008","8","0.847728","gallons","dollars_per_litre","1A","PetroleumAdministrationForDefenseDistrict","2010-07-07 02:06:32","2010-07-07 02:06:32"
"01ddc4e4a819763b4acd5abdd232e8be","fuel oil","1991","11","0.0924602","gallons","dollars_per_litre","Florida","State","2010-07-07 02:05:28","2010-07-07 02:05:28"
"01df4811e671e32858a39a656a5fb946","fuel oil","1993","7","0.0993287","gallons","dollars_per_litre","1B","PetroleumAdministrationForDefenseDistrict","2010-07-07 02:05:34","2010-07-07 02:05:34"
"01e160b68a05a72cfb42d33c43d44be6","electricity","1995","5","0.060708","dollars","dollars_per_kilowatt_hour","TN","State","2010-07-07 02:03:21","2010-07-07 02:03:21"
"01eb3c5bf76380b886434302202dbfa2","fuel oil","1990","10","0.134728","gallons","dollars_per_litre","New Hampshire","State","2010-07-07 02:05:24","2010-07-07 02:05:24"
"01f0fd5b1af0f47ed1129a31a08d22ce","electricity","2000","5","0.0544435","dollars","dollars_per_kilowatt_hour","ID","State","2010-07-07 02:03:59","2010-07-07 02:03:59"
"01f28bac18a961e15ff09670de13f158","electricity","2009","10","0.100109","dollars","dollars_per_kilowatt_hour","MN","State","2010-07-07 02:05:10","2010-07-07 02:05:10"
"01f3b5bb4e6ba14d98cd95b79c0070b1","fuel oil","1997","9","0.112801","gallons","dollars_per_litre","1B","PetroleumAdministrationForDefenseDistrict","2010-07-07 02:05:47","2010-07-07 02:05:47"
"01f43a7e631e95594474595950b9f099","fuel oil","2007","11","0.466264","gallons","dollars_per_litre","New Hampshire","State","2010-07-07 02:06:15","2010-07-07 02:06:15"
"01f57bba002a663a5e8cf5f5b97d5b36","fuel oil","1995","6","0.112537","gallons","dollars_per_litre","New Jersey","State","2010-07-07 02:05:40","2010-07-07 02:05:40"
"01f59656fb2737a4d73e77cbce139cf1","electricity","2005","2","0.0829568","dollars","dollars_per_kilowatt_hour","NC","State","2010-07-07 02:04:35","2010-07-07 02:04:35"
"0200b40e6cd6b3b16b43afa70f3dedf4","electricity","2005","12","0.0802945","dollars","dollars_per_kilowatt_hour","AL","State","2010-07-07 02:04:40","2010-07-07 02:04:40"
"02016cb647e69ae6ef9b49c15c4ccfca","propane","2003","10","0.275267","gallons","dollars_per_litre","2","PetroleumAdministrationForDefenseDistrict","2010-07-07 02:06:28","2010-07-07 02:06:28"
"02029dfcbc8023ca4843872856f05cfb","natural gas","1991","6","51.9126","cubic_feet","dollars_per_cubic_metre","Oklahoma","State","2010-07-07 02:05:15","2010-07-07 02:05:15"
"0204775fc58e7983578ee718428ad2c1","electricity","1998","2","0.0585786","dollars","dollars_per_kilowatt_hour","ND","State","2010-07-07 02:03:42","2010-07-07 02:03:42"
"0206b67bcfc4e58b9dc21cf9e59922b7","fuel oil","2008","4","0.379879","gallons","dollars_per_litre","Ohio","State","2010-07-07 02:06:16","2010-07-07 02:06:16"
"020cf912710e404bb8f40bd08bf8d16c","electricity","2000","10","0.0568492","dollars","dollars_per_kilowatt_hour","KY","State","2010-07-07 02:04:02","2010-07-07 02:04:02"
"0211e1a6422763a179eabd799376c917","fuel oil","2006","6","0.322818","gallons","dollars_per_litre","Massachusetts","State","2010-07-07 02:06:11","2010-07-07 02:06:11"
"0214e8736157e0b8c5c6f3e7222a300e","fuel oil","2001","3","0.12918","gallons","dollars_per_litre","Texas","State","2010-07-07 02:05:57","2010-07-07 02:05:57"
"02173f9b322a90adf224251ef78335a8","electricity","1991","4","0.0677606","dollars","dollars_per_kilowatt_hour","AL","State","2010-07-07 02:02:47","2010-07-07 02:02:47"
"021a60f8e87d9dffcf3825589e430521","fuel oil","1999","12","0.133671","gallons","dollars_per_litre","Virginia","State","2010-07-07 02:05:53","2010-07-07 02:05:53"
"021d588dfbe5cb3bb0b56d8a0d72676c","electricity","2006","8","0.0987963","dollars","dollars_per_kilowatt_hour","AZ","State","2010-07-07 02:04:45","2010-07-07 02:04:45"
"021e3f518c3c8390b5a23422e11883cc","electricity","1997","12","0.138421","dollars","dollars_per_kilowatt_hour","NY","State","2010-07-07 02:03:40","2010-07-07 02:03:40"
"02240601333ec23dbc1720bc1c8ad0fb","electricity","1999","3","0.0850704","dollars","dollars_per_kilowatt_hour","MI","State","2010-07-07 02:03:50","2010-07-07 02:03:50"
